asset_key,propriedade,tipo,descricao,frequencia,unidade_de_medida,created_by_airtable,created_at_airtable
asset--comercializacao-de-camisetas,Comercialização de Camisetas,Produto,,N/A,Percentual,Lucas Oaigen,22/5/2025 10:27pm
asset--paineis-de-led-de-campo,Painéis de LED de Campo,Mídia Digital,,Por Ocorrencia,Percentual,Lucas Oaigen,22/5/2025 10:27pm
asset--eventos-dia-do-goleiro-e-dia-do-futebol,Eventos 'Dia do Goleiro' e 'Dia do futebol',Ativação,,N/A,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--marca-em-banner-no-site-da-afetv,Marca em banner no site da AFETV,AFETV,,N/A,Permanente,Lucas Oaigen,22/5/2025 10:54pm
asset--producao-de-conteudos-para-a-afetv,Produção de conteúdos para a AFETV,AFETV,,Mensal,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--marca-em-conteudos-da-afetv,Marca em conteúdos da AFETV,AFETV,,Por Ocorrencia,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--ingressos-por-jogo,Ingressos por Jogo,Relacionamento,,Por Ocorrencia,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--materias-no-site-do-clube,Matérias no site do clube,Mídia Digital,,Mensal,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--ativacao-em-jogos-como-mandante,Ativação em Jogos como Mandante,Ativação,,Por Ocorrencia,Permanente,Lucas Oaigen,22/5/2025 10:54pm
asset--marca-rodape-do-site-oficial,Marca Rodapé do Site Oficial,Mídia Digital,,N/A,Permanente,Lucas Oaigen,22/5/2025 10:54pm
asset--postagens-em-redes-sociais-ig-fb-x-tiktok-e-linkedin,"Postagens em Redes Sociais (IG, FB, X, TikTok e Linkedin)",Redes Sociais,,Mensal,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--acoes-de-carater-social-com-o-clube,Ações de caráter social com o clube,Ativação,,Anual,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--visitas-com-convidados-no-museu,Visitas com convidados no museu,Relacionamento,,Anual,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--day-use-no-estadio-fonte-luminosa,Day use no Estádio Fonte Luminosa,Relacionamento,,N/A,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--desconto-socio-torcedor,Desconto Sócio Torcedor,Sócio Torcedor,,N/A,Percentual,Lucas Oaigen,22/5/2025 10:54pm
asset--marca-como-patrocinador-oficial,Marca como Patrocinador Oficial,Mídia Física,,N/A,Permanente,Lucas Oaigen,22/5/2025 10:54pm
asset--evento-dos-atletas-na-sede-do-patrocinador,Evento dos atletas na sede do patrocinador,Relacionamento,,Anual,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--convidados-para-jantar-com-atletas,Convidados para 'Jantar com atletas',Relacionamento,,N/A,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--media-day,Media Day,Mídia Física,,Anual,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--marca-no-match-day-nas-redes-sociais,Marca no match day nas redes sociais,Redes Sociais,,Por Ocorrencia,Permanente,Lucas Oaigen,22/5/2025 10:54pm
asset--camarote-numero-de-assentos,Camarote - número de assentos,Relacionamento,,Por Ocorrencia,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--visitas-anuais-ao-ct-com-convidados,Visitas anuais ao CT com convidados,Relacionamento,,Anual,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--categoria-especial-plano-de-socios,Categoria Especial Plano de Sócios,Sócio Torcedor,,N/A,Permanente,Lucas Oaigen,22/5/2025 10:54pm
asset--elemento-visual-no-vestiario,Elemento Visual no Vestiário,Mídia Física,,N/A,Permanente,Lucas Oaigen,22/5/2025 10:54pm
asset--marca-no-backdrop,Marca no Backdrop,Mídia Física,,Por Ocorrencia,Percentual,Lucas Oaigen,22/5/2025 10:54pm
asset--notificacoes-push-pelo-socio-digital,Notificações 'push' pelo Sócio Digital,Sócio Torcedor,,Anual,Unidade,Lucas Oaigen,22/5/2025 10:54pm
asset--placas-no-ct,Placas no CT,Mídia Física,,N/A,Unidade,Lucas Oaigen,22/5/2025 10:54pm
