country_key,country_name,capital_city,continent,region
country--afghanistan,Afghanistan,Kabul,Asia,Middle East
country--albania,Albania,Tirana,Europe,Europe
country--algeria,Algeria,Algiers,Africa,Africa
country--american-samoa,American Samoa,Apia,Oceania,Oceania
country--andorra,Andorra,Andorra la Vella,Europe,Europe
country--angola,Angola,Luanda,Africa,Africa
country--anguilla,Anguilla,,North America,Central America
country--antarctica,Antarctica,,Antarctica,Antarctica
country--antigua-and-barbuda,Antigua and Barbuda,,North America,Central America
country--argentina,Argentina,Buenos Aires,South America,South America
country--armenia,Armenia,Yerevan,Asia,Asia
country--aruba,Aruba,,North America,Central America
country--australia,Australia,Canberra,Oceania,Oceania
country--austria,Austria,Vienna,Europe,Europe
country--azerbaijan,Azerbaijan,Baku,Asia,Asia
country--bahamas,Bahamas,,North America,Central America
country--bahrain,Bahrain,Manama,Asia,Middle East
country--bangladesh,Bangladesh,Dhaka,Asia,Asia
country--barbados,Barbados,Bridgetown,North America,Caribbean
country--belarus,Belarus,Minsk,Europe,Europe
country--belgium,Belgium,Brussels,Europe,Europe
country--belize,Belize,Belmopan,North America,Central America
country--benin,Benin,Porto-Novo,Africa,Africa
country--bermuda,Bermuda,Hamilton,North America,Caribbean
country--bhutan,Bhutan,Thimphu,Asia,Asia
country--bolivia,Bolivia,La Paz,South America,South America
country--bosnia-and-herzegovina,Bosnia and Herzegovina,,Europe,Europe
country--botswana,Botswana,Gaborone,Africa,Africa
country--bouvet-island,Bouvet Island,,Antarctica,Antarctica
country--brazil,Brazil,Brasilia,South America,South America
country--british-indian-ocean-territory,British Indian Ocean Territory,,Asia,Unknown
country--british-virgin-islands,British Virgin Islands,,North America,Central America
country--brunei,Brunei,Bandar Seri Begawan,Asia,Asia
country--bulgaria,Bulgaria,Sofia,Europe,Europe
country--burkina-faso,Burkina Faso,Ouagadougou,Africa,Africa
country--burundi,Burundi,Bujumbura,Africa,Africa
country--cambodia,Cambodia,Phnom Penh,Asia,Asia
country--cameroon,Cameroon,Yaounde,Africa,Africa
country--canada,Canada,Ottawa,North America,North America
country--cape-verde,Cape Verde,Praia,Africa,Africa
country--cayman-islands,Cayman Islands,,North America,Central America
country--central-african-republic,Central African Republic,Bangui,Africa,Africa
country--chad,Chad,N'Djamena,Africa,Africa
country--chile,Chile,Santiago,South America,South America
country--china,China,Beijing,Asia,Asia
country--christmas-island,Christmas Island,,Oceania,Oceania
country--cocos-keeling-islands,Cocos [Keeling] Islands,,Oceania,Oceania
country--colombia,Colombia,Bogota,South America,South America
country--comoros,Comoros,Moroni,Africa,Africa
country--congo-drc,Congo [DRC],,Africa,Africa
country--congo-republic,Congo [Republic],,Africa,Africa
country--cook-islands,Cook Islands,,Oceania,Oceania
country--costa-rica,Costa Rica,San Jose,North America,Central America
country--cote-d-ivoire,Cote d'Ivoire,Yamoussoukro,,Africa
country--cote-d-ivoire,Côte d'Ivoire,,Africa,Africa
country--croatia,Croatia,Zagreb,Europe,Europe
country--cuba,Cuba,Havana,North America,Caribbean
country--curacao,Curaçao,Willemstad,,Caribbean
country--cyprus,Cyprus,Nicosia,Europe,Europe
country--czech-republic,Czech Republic,Prague,Europe,Europe
country--denmark,Denmark,Copenhagen,Europe,Europe
country--djibouti,Djibouti,Djibouti,Africa,Africa
country--dominica,Dominica,Roseau,North America,Caribbean
country--dominican-republic,Dominican Republic,Santo Domingo,North America,Caribbean
country--ecuador,Ecuador,Quito,South America,South America
country--egypt,Egypt,Cairo,Africa,Africa
country--el-salvador,El Salvador,San Salvador,North America,Central America
country--england,England,London,Europe,Europe
country--equatorial-guinea,Equatorial Guinea,Malabo,Africa,Africa
country--eritrea,Eritrea,Asmara,Africa,Africa
country--estonia,Estonia,Tallinn,Europe,Europe
country--ethiopia,Ethiopia,Addis Ababa,Africa,Africa
country--falkland-islands-islas-malvinas,Falkland Islands [Islas Malvinas],,South America,South America
country--faroe-islands,Faroe Islands,,Europe,Europe
country--fiji,Fiji,Suva,Oceania,Oceania
country--finland,Finland,Helsinki,Europe,Europe
country--france,France,Paris,Europe,Europe
country--french-guiana,French Guiana,,South America,South America
country--french-polynesia,French Polynesia,,Oceania,Unknown
country--french-southern-territories,French Southern Territories,,Antarctica,Antarctica
country--gabon,Gabon,Libreville,Africa,Africa
country--gambia,Gambia,,Africa,Africa
country--gambia-the,"Gambia, The",Banjul,,Africa
country--gaza-strip,Gaza Strip,,Asia,Asia
country--georgia,Georgia,Tbilisi,Europe,Asia
country--germany,Germany,Berlin,Europe,Europe
country--ghana,Ghana,Accra,Africa,Africa
country--gibraltar,Gibraltar,,Europe,Europe
country--greece,Greece,Athens,Europe,Europe
country--greenland,Greenland,,North America,North America
country--grenada,Grenada,St George's,North America,Caribbean
country--guadeloupe,Guadeloupe,,North America,Central America
country--guam,Guam,,Oceania,North America
country--guatemala,Guatemala,Guatemala City,North America,Central America
country--guernsey,Guernsey,,Europe,Europe
country--guinea,Guinea,Conakry,Africa,Africa
country--guinea-bissau,Guinea-Bissau,Bissau,Africa,Africa
country--guyana,Guyana,Georgetown,South America,South America
country--haiti,Haiti,Port-au-Prince,North America,Caribbean
